restaurant_category,order_date
À La Carte,26977
Rice Dish,24427
North East,22397
Café/Coffee Shop,20377
Noodles,20143
Thai,18977
Bakery/Cake,11532
Dessert,10741
Bubble Milk Tea,8713
Delivery Only,8409
Pizza,7551
Seafood,6242
Late Night Rice Porridge,5746
Steak House/Barbeque,5536
Sukiyaki/Shabu,4917
Northern Food,4021
Chinese,4009
Juice/Coffee/Tea/Soft drinks,3425
Street Food/Food Stands,2647
Fusion Food,2175
Moo Kata,1965
Healthy Food,1947
Fastfood,1930
Sushi,1839
Burger,1807
Muslim,1689
Buffet,1264
Southern Food,1158
Barbeque/Grill,1098
Vietnam,920
Vegan,789
Ice Cream,416
Japanese,358
